"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"GEN"	"AGE"	"KV_A1"	"KV_A2"	"KV_A3"	"KV_A4"	"KV_B1"	"KV_B2"	"GE05_CP"	"ORDER"	"AV_A"	"AV_B"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
150			"base"	"interview"	2020-06-08 11:27:38	1	20	1	2	4	3	1	4	5	1	200	"06:00"	23	33	22	33	11	6	16	144		2020-06-08 11:30:02	T	F	7	7	0	0	1.36	21
152			"base"	"interview"	2020-06-08 11:29:26	1	61	1	2	5	5	2	5	5	4	200	"03:00"	20	379	15	59	24	8	15	196		2020-06-08 11:38:06	T	F	7	7	0	0	0.96	9
156			"base"	"interview"	2020-06-08 11:30:27	1	56	1	2	1	5	3	4	5	4	150	"01:30"	22	65	16	27	28	22	19	186		2020-06-08 11:33:46	T	F	7	7	0	0	0.99	9
157			"base"	"interview"	2020-06-08 11:33:14	2	21	2	1	2	5	4	4	5	4	300	"02:00"	3	59	24	91	28	6	44	255		2020-06-08 11:37:29	T	F	7	7	0	0	1.17	31
158			"base"	"interview"	2020-06-08 11:33:46	1	20	1	2	2	2	2	4	6	4	55050	"05:00"	29	110	27	175	62	9	214	301		2020-06-08 11:44:12	F	F	7	7	0	0	0.52	0
159			"base"	"interview"	2020-06-08 11:36:19	1	19	1	2	4	5	3	4	6	1	500	"02:00"	27	38	27	41	21	9	18	181		2020-06-08 11:39:20	T	F	7	7	0	0	1.02	5
160			"base"	"interview"	2020-06-08 11:37:54	1	20	1	2	1	5	1	5	7	2	250	"04:00"	289	87	20	73	13	11	19	238		2020-06-08 11:46:26	T	F	7	7	0	0	0.88	7
162			"base"	"interview"	2020-06-08 11:38:35	1	20	1	2	4	5	2	4	6	1	150	"05:00"	8	70	22	35	14	10	40	199		2020-06-08 11:41:54	T	F	7	7	0	0	1.14	12
163			"base"	"interview"	2020-06-08 11:40:22	1	20	1	2	2	5	3	5	7	2	70	"04:00"	9	41	26	35	9	6	19	145		2020-06-08 11:42:47	T	F	7	7	0	0	1.46	23
164			"base"	"interview"	2020-06-08 11:40:54			-9	2	-9	-9			7	1	200		3	12	3					18		2020-06-08 11:41:12	F	F	3	3	60	60	3	246
165			"base"	"interview"	2020-06-08 11:43:24	1	20	1	2	3	5	3	4	8	4	300	"03:00"	3	47	16	66	17	5	35	189		2020-06-08 11:46:33	T	F	7	7	0	0	1.44	40
