"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"GEN"	"AGE"	"KV_A1"	"KV_A2"	"KV_A3"	"KV_A4"	"KV_B1"	"KV_B2"	"GE05_CP"	"ORDER"	"AV_A"	"AV_B"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
344			"base"	"interview"	2020-06-09 16:40:51	2	28	1	2	2	4	1	4	28	2	100	"00:39"	10	46	41	85	15	21	22	228		2020-06-09 16:44:51	T	F	7	7	0	0	0.94	8
348			"base"	"interview"	2020-06-09 17:02:29	1	20	1	2	2	5	3	3	28	4	1200	"01:20"	42	142	44	7070	55	9	23	358		2020-06-09 19:05:34	T	F	7	7	0	0	0.52	0
349			"base"	"interview"	2020-06-09 17:07:47	2	57	1	2	5	4	3	4	28	3	800	"01:00"	15	45	18	19	15	7	16	135		2020-06-09 17:10:02	T	F	7	7	0	0	1.42	21
353			"base"	"interview"	2020-06-09 18:16:55	2	20	1	2	1	5	4	4	28	4	5000	"02:00"	4	41	17	16	21	6	17	122		2020-06-09 18:18:57	T	F	7	7	0	0	1.75	42
356			"base"	"interview"	2020-06-09 19:05:59	1	23	1	2	4	5	2	4	28	1	180	"03:22"	4	37	19	44	8	6	13	131		2020-06-09 19:08:10	T	F	7	7	0	0	1.81	45
358			"base"	"interview"	2020-06-09 19:09:19	2	55	1	2	1	5	3	5	29	1	250	"03:00"	10	11	94	66	20	7	14	153		2020-06-09 19:13:01	T	F	7	7	0	0	1.32	38
359			"base"	"interview"	2020-06-09 19:21:18	1	48	1	2	3	5	3	5	29	2	100	"05:00"	7	42	25	70	24	14	30	212		2020-06-09 19:24:50	T	F	7	7	0	0	1.04	10
362			"base"	"interview"	2020-06-09 20:05:10							3	4	29	3		"02:00"	40	83	130					148		2020-06-09 20:09:23	F	F	3	3	0	0	0.41	0
364			"base"	"interview"	2020-06-09 20:21:18	2	55	1	2	2	4	3	4	29	3	120	"02:45"	47	48	30	55	58	23	15	262		2020-06-09 20:25:54	T	F	7	7	0	0	0.75	4
366			"base"	"interview"	2020-06-09 21:01:17	1	21	1	2	2	5	2	5	30	4	150	"00:40"	3	65	14	37	18	7	4	148		2020-06-09 21:03:45	T	F	7	7	0	0	1.76	68
370			"base"	"interview"	2020-06-09 21:43:53	1	53	1	2	3	5	3	4	30	2	1000	"03:00"	63	60	71	143	27	9	23	250		2020-06-09 21:50:29	T	F	7	7	0	0	0.65	0
371			"base"	"interview"	2020-06-09 22:40:49	1	25	1	2	3	5	4	2	30	3	300	"02:00"	16	169	29	112	90	18	13	265		2020-06-09 22:48:16	T	F	7	7	0	0	0.69	4
372			"base"	"interview"	2020-06-09 23:05:24	1	25	1	2	4	5	4	4	30	1	150	"40400"	46	40	36	147	14	11	21	211		2020-06-09 23:10:39	T	F	7	7	10	9	0.87	7
373			"base"	"interview"	2020-06-10 00:04:03									31	4			4	7						11		2020-06-10 00:04:14	F	F	2	2	100	100	3	237
374			"base"	"interview"	2020-06-10 00:24:37	2	25	1	2	5	2	2	3	31	3	100	"01:45"	4	225	74	252	125	12	13	174		2020-06-10 00:36:22	T	F	7	7	0	0	0.9	23
378			"base"	"interview"	2020-06-10 07:47:25	2	52	1	2	5	5	4	4	31	4	300	"02:30"	14	85	22	42	35	15	14	227		2020-06-10 07:51:12	T	F	7	7	0	0	0.94	5
379			"base"	"interview"	2020-06-10 07:56:46	1	52	1	2	5	4	3	5	31	1	500	"02:00"	397	39	62	49	25	11	28	229		2020-06-10 08:06:57	T	F	7	7	0	0	0.74	3
380			"base"	"interview"	2020-06-10 08:25:36	1	25	1	2	2	4	3	4	31	2	200	"03:00"	9	71	99	221	56	23	57	234		2020-06-10 08:34:32	T	F	7	7	0	0	0.57	4
383			"base"	"interview"	2020-06-10 08:59:53	2	23	1	2	2	2	5	2	32	3	100	"02:00"	24	111	21	37	21	9	29	252		2020-06-10 09:04:05	T	F	7	7	0	0	0.89	3
385			"base"	"interview"	2020-06-10 09:20:35	2	22	1	2	1	5	3	4	32	1	8	":20:2"	13	37	21	73	16	7	26	193		2020-06-10 09:23:48	T	F	7	7	10	9	1.12	10
386			"base"	"interview"	2020-06-10 09:20:50									32	2			22	23						45		2020-06-10 09:21:35	F	F	2	2	100	100	1.53	35
392			"base"	"interview"	2020-06-10 09:23:02	2	25	1	2	1	5	2	5	32	4	1000	"03:00"	10	105	19	18	13	8	12	185		2020-06-10 09:26:08	T	F	7	7	0	0	1.46	27
394			"base"	"interview"	2020-06-10 09:24:20	2	29	1	2	1	5	2	4	32	2	250	"03:00"	8	43	17	30	11	7	18	134		2020-06-10 09:26:34	T	F	7	7	0	0	1.49	25
395			"base"	"interview"	2020-06-10 09:25:15	1	20	1	2	2	5	2	4	32	4	100	"03:30"	12	54	20	16	19	9	25	155		2020-06-10 09:27:50	T	F	7	7	0	0	1.31	17
396			"base"	"interview"	2020-06-10 09:35:37	1	19	1	2	4	5	3	4	33	3	100	"03:00"	31	58	41	105	87	9	29	295		2020-06-10 09:41:37	T	F	7	7	0	0	0.63	0
397			"base"	"interview"	2020-06-10 09:58:02	1	22	1	2	2	2	5	2	33	1	20	"03:00"	19	26	26	36	13	6	24	150		2020-06-10 10:00:33	T	F	7	7	0	0	1.3	18
399			"base"	"interview"	2020-06-10 10:02:45									33	2			29	78						107		2020-06-10 10:04:32	F	F	2	2	100	100	0.6	0
